RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1,"Altuve, J",HOU,2B,153,590,112,204,39,4,24,81,58,84,32,6,0.346,0.41,0.547,0.957
2,"Blackmon, C",COL,CF,159,644,137,213,35,14,37,104,65,135,14,10,0.331,0.399,0.601,1
3,"Garcia, A",CWS,RF,136,518,75,171,27,5,18,80,33,111,5,3,0.33,0.38,0.506,0.885
4,"Murphy, D",WSH,2B,144,534,94,172,43,3,23,93,52,77,2,0,0.322,0.384,0.543,0.928
5,"Turner, J",LAD,3B,130,457,72,147,32,0,21,71,59,56,7,1,0.322,0.415,0.53,0.945
6,"Votto, J",CIN,1B,162,559,106,179,34,1,36,100,134,83,5,1,0.32,0.454,0.578,1.032
7,"Posey, B",SF,C,140,494,62,158,34,0,12,67,61,66,6,1,0.32,0.4,0.462,0.861
8,"Hosmer, E",KC,1B,162,603,98,192,31,1,25,94,66,104,6,1,0.318,0.385,0.498,0.882
9,"Ramirez, J",CLE,3B,152,585,107,186,56,6,29,83,52,69,17,5,0.318,0.374,0.583,0.957
10,"Reddick, J",HOU,RF,134,477,77,150,34,4,13,82,43,72,7,3,0.314,0.363,0.484,0.847
11,"Ozuna, M",MIA,LF,159,613,93,191,30,2,37,124,64,144,1,3,0.312,0.376,0.548,0.924
12,"LeMahieu, D",COL,2B,155,609,95,189,28,4,8,64,59,90,6,5,0.31,0.374,0.409,0.783
13,"Arenado, N",COL,3B,159,606,100,187,43,7,37,130,62,106,3,2,0.309,0.373,0.586,0.959
14,"Gordon, D",MIA,2B,158,653,114,201,20,9,2,33,25,93,60,16,0.308,0.341,0.375,0.716
15,"Freeman, F",ATL,1B,117,440,84,135,35,2,28,71,65,95,8,5,0.307,0.403,0.586,0.989
16,"Pham, T",STL,LF,128,444,95,136,22,2,23,73,71,117,25,7,0.306,0.411,0.52,0.931
17,"Trout, M",LAA,CF,114,402,92,123,25,3,33,72,94,90,22,4,0.306,0.442,0.629,1.071
18,"Mauer, J",MIN,1B,141,525,69,160,36,1,7,71,66,83,2,1,0.305,0.384,0.417,0.801
19,"Abreu, J",CWS,1B,156,621,95,189,43,6,33,102,35,119,3,0,0.304,0.354,0.552,0.906
20,"Inciarte, E",ATL,CF,157,662,93,201,27,5,11,57,49,94,22,9,0.304,0.35,0.409,0.759
21,"Zimmerman, R",WSH,1B,144,524,90,159,33,0,36,108,44,126,1,0,0.303,0.358,0.573,0.93
22,"Gonzalez, M",HOU,LF,134,455,67,138,34,0,23,90,49,99,8,3,0.303,0.377,0.53,0.907
23,"Rendon, A",WSH,3B,147,508,81,153,41,1,25,100,84,82,7,2,0.301,0.403,0.533,0.937
24,"Cain, L",KC,CF,155,584,86,175,27,5,15,49,54,100,26,2,0.3,0.363,0.44,0.803
25,"Segura, J",SEA,SS,125,524,80,157,30,2,11,45,34,83,22,8,0.3,0.349,0.427,0.776
26,"Gurriel, Y",HOU,1B,139,529,69,158,43,1,18,75,22,62,3,2,0.299,0.332,0.486,0.817
27,"Goldschmidt, P",ARI,1B,155,558,117,166,34,3,36,120,94,147,18,5,0.297,0.404,0.563,0.966
28,"Andrus, E",TEX,SS,158,643,100,191,44,4,20,88,38,101,25,10,0.297,0.337,0.471,0.808
29,"Cozart, Z",CIN,SS,122,438,80,130,24,7,24,63,62,78,3,0,0.297,0.385,0.548,0.933
30,"Bryant, K",CHC,3B,151,549,111,162,38,4,29,73,95,128,7,5,0.295,0.409,0.537,0.946
31,"Seager, C",LAD,SS,145,539,85,159,33,0,22,77,67,131,4,2,0.295,0.375,0.479,0.854
32,"Hernandez, C",PHI,2B,128,511,85,150,26,6,9,34,61,104,15,5,0.294,0.373,0.421,0.793
33,"Peralta, D",ARI,RF,140,525,82,154,31,3,14,57,43,94,8,4,0.293,0.352,0.444,0.796
34,"Mancini, T",BAL,LF,147,543,65,159,26,4,24,78,33,139,1,0,0.293,0.338,0.488,0.826
35,"Schoop, J",BAL,2B,160,622,92,182,35,0,32,105,35,142,1,0,0.293,0.338,0.503,0.841
36,"Rosario, E",MIN,LF,151,542,79,157,33,2,27,78,35,106,9,8,0.29,0.328,0.507,0.836
37,"Taylor, C",LAD,LF,140,514,85,148,34,5,21,72,50,142,17,4,0.288,0.354,0.496,0.85
38,"Merrifield, W",KC,2B,145,587,80,169,32,6,19,78,29,88,34,8,0.288,0.324,0.46,0.784
39,"Cruz, N",SEA,DH,155,556,91,160,28,0,39,119,70,140,1,1,0.288,0.375,0.549,0.924
40,"Panik, J",SF,2B,138,511,60,147,28,5,10,53,46,54,4,1,0.288,0.347,0.421,0.768
41,"Gregorius, D",NYY,SS,136,534,73,153,27,0,25,87,25,70,3,1,0.287,0.318,0.478,0.796
42,"Cabrera, M",KC,RF,156,620,78,177,30,2,17,85,36,74,1,2,0.285,0.324,0.423,0.746
43,"Phillips, B",LAA,2B,144,572,81,163,34,1,13,60,21,73,11,8,0.285,0.319,0.416,0.735
44,"Jones, A",BAL,CF,147,597,82,170,28,1,26,73,27,113,2,1,0.285,0.322,0.466,0.787
45,"Bregman, A",HOU,3B,155,556,88,158,39,5,19,71,55,97,17,5,0.284,0.352,0.475,0.827
46,"Judge, A",NYY,RF,155,542,128,154,24,3,52,114,127,208,9,4,0.284,0.422,0.627,1.049
47,"Springer, G",HOU,CF,140,548,112,155,29,0,34,85,64,111,5,7,0.283,0.367,0.522,0.889
48,"Yelich, C",MIA,CF,156,602,100,170,36,2,18,81,80,137,16,2,0.282,0.369,0.439,0.807
49,"Dickerson, C",TB,LF,150,588,84,166,33,4,27,62,35,152,4,3,0.282,0.325,0.49,0.815
50,"Stanton, G",MIA,RF,159,597,123,168,32,0,59,132,85,163,2,2,0.281,0.376,0.631,1.007
51,"Herrera, O",PHI,CF,138,526,67,148,42,3,14,56,31,126,8,5,0.281,0.325,0.452,0.778
52,"Cano, R",SEA,2B,150,592,79,166,33,0,23,97,49,85,1,0,0.28,0.338,0.453,0.791
53,"Cabrera, A",NYM,SS,135,479,66,134,32,0,14,59,50,83,3,2,0.28,0.351,0.434,0.785
54,"McCutchen, A",PIT,CF,156,570,94,159,30,2,28,88,73,116,11,5,0.279,0.363,0.486,0.849
55,"Simmons, A",LAA,SS,158,589,77,164,38,2,14,69,47,67,19,6,0.278,0.331,0.421,0.752
56,"Realmuto, J",MIA,C,141,532,68,148,31,5,17,65,36,106,8,2,0.278,0.332,0.451,0.783
57,"Sanchez, G",NYY,C,122,471,79,131,20,0,33,90,40,120,2,1,0.278,0.345,0.531,0.876
58,"Santana, D",MIL,RF,151,525,88,146,29,0,30,85,73,178,15,4,0.278,0.371,0.505,0.875
59,"Beckham, T",BAL,SS,137,533,67,148,18,5,22,62,36,167,6,5,0.278,0.328,0.454,0.782
60,"Lowrie, J",OAK,2B,153,567,86,157,49,3,14,69,73,100,0,1,0.277,0.36,0.448,0.808
61,"Arcia, O",MIL,SS,153,506,56,140,17,2,15,53,36,100,14,7,0.277,0.324,0.407,0.731
62,"Gamel, B",SEA,LF,134,509,68,140,27,5,11,59,36,122,4,1,0.275,0.322,0.413,0.735
63,"Markakis, N",ATL,RF,160,593,76,163,39,1,8,76,68,110,0,2,0.275,0.354,0.384,0.738
64,"Molina, Y",STL,C,136,501,60,137,27,1,18,82,28,74,9,4,0.273,0.312,0.439,0.751
65,"Headley, C",NYY,3B,147,512,77,140,30,1,12,61,60,132,9,2,0.273,0.352,0.406,0.758
66,"Lindor, F",CLE,SS,159,651,99,178,44,4,33,89,60,93,15,3,0.273,0.337,0.505,0.842
67,"Shaw, T",MIL,3B,144,538,84,147,34,1,31,101,60,138,10,0,0.273,0.349,0.513,0.862
68,"Bogaerts, X",BOS,SS,148,571,94,156,32,6,10,62,56,116,15,1,0.273,0.343,0.403,0.746
69,"Baez, J",CHC,2B,145,469,75,128,24,2,23,75,30,144,10,3,0.273,0.317,0.48,0.796
70,"Upton, J",LAA,LF,152,557,100,152,44,0,35,109,74,180,14,5,0.273,0.361,0.54,0.901
71,"Rizzo, A",CHC,1B,157,572,99,156,32,3,32,109,91,90,10,4,0.273,0.392,0.507,0.899
72,"Moustakas, M",KC,3B,148,555,75,151,24,0,38,85,34,94,0,0,0.272,0.314,0.521,0.835
73,"Castellanos, N",DET,OF,157,614,73,167,36,10,26,101,41,142,4,5,0.272,0.32,0.49,0.811
74,"Span, D",SF,CF,129,497,73,135,31,5,12,43,40,69,12,7,0.272,0.329,0.427,0.756
75,"Harrison, J",PIT,2B,128,486,66,132,26,2,16,47,28,90,12,4,0.272,0.339,0.432,0.771
76,"Healy, R",OAK,DH,149,576,66,156,29,0,25,78,23,142,0,1,0.271,0.302,0.451,0.754
77,"Dozier, B",MIN,2B,152,617,106,167,30,4,34,93,78,141,16,7,0.271,0.359,0.498,0.856
78,"Benintendi, A",BOS,LF,151,573,84,155,26,1,20,90,70,112,20,5,0.271,0.352,0.424,0.776
79,"Smoak, J",TOR,1B,158,560,85,151,29,1,38,90,73,128,0,1,0.27,0.355,0.529,0.883
80,"Reynolds, M",COL,1B,148,520,82,139,22,1,30,97,69,175,2,1,0.267,0.352,0.487,0.839
81,"Bellinger, C",LAD,1B,132,480,87,128,26,4,39,97,64,146,10,3,0.267,0.352,0.581,0.933
82,"Sanchez, Y",CWS,2B,141,484,63,129,19,8,12,59,35,111,8,9,0.267,0.319,0.413,0.732
83,"Alonso, Y",SEA,1B,142,451,72,120,22,0,28,67,68,118,2,0,0.266,0.365,0.501,0.866
84,"Betts, M",BOS,RF,153,628,101,166,46,2,24,102,77,79,26,3,0.264,0.344,0.459,0.803
85,"Gardner, B",NYY,LF,151,594,96,157,26,4,21,63,72,122,23,5,0.264,0.35,0.428,0.778
86,"Freese, D",PIT,3B,130,426,44,112,16,0,10,52,58,116,0,1,0.263,0.368,0.371,0.739
87,"Margot, M",SD,CF,126,487,53,128,18,7,13,39,35,106,17,7,0.263,0.313,0.409,0.721
88,"Puig, Y",LAD,RF,152,499,72,131,24,2,28,74,64,100,15,6,0.263,0.346,0.487,0.833
89,"Gonzalez, C",COL,RF,136,470,72,123,34,0,14,57,56,119,3,0,0.262,0.339,0.423,0.762
90,"Choo, S",TEX,RF,149,544,96,142,20,1,22,78,77,134,12,3,0.261,0.357,0.423,0.78
91,"Longoria, E",TB,3B,156,613,71,160,36,2,20,86,46,109,6,1,0.261,0.313,0.424,0.737
92,"Suarez, E",CIN,3B,156,534,87,139,25,2,26,82,84,147,4,5,0.26,0.367,0.461,0.828
93,"Pence, H",SF,RF,134,493,55,128,13,5,13,67,40,102,2,3,0.26,0.315,0.385,0.701
94,"Santana, C",CLE,1B,154,571,90,148,37,3,23,79,88,94,5,1,0.259,0.363,0.455,0.818
95,"Machado, M",BAL,3B,156,630,81,163,33,1,33,95,50,115,9,4,0.259,0.31,0.471,0.782
96,"Peraza, J",CIN,2B,143,487,50,126,9,4,5,37,20,70,23,8,0.259,0.297,0.324,0.622
97,"Encarnacion, E",CLE,DH,157,554,96,143,20,1,38,107,104,133,2,0,0.258,0.377,0.504,0.881
98,"Anderson, T",CWS,SS,146,587,72,151,26,4,17,56,13,162,15,1,0.257,0.276,0.402,0.679
99,"Polanco, J",MIN,SS,133,488,60,125,30,3,13,74,41,78,13,5,0.256,0.313,0.41,0.723
100,"Pillar, K",TOR,CF,154,587,72,150,37,1,16,42,33,95,15,6,0.256,0.3,0.404,0.704
101,"Solarte, Y",SD,2B,128,466,49,119,21,0,18,64,37,61,3,0,0.255,0.314,0.416,0.731
102,"Bell, J",PIT,1B,159,549,75,140,26,6,26,90,66,117,2,4,0.255,0.334,0.466,0.8
103,"Mercer, J",PIT,SS,145,502,52,128,24,5,14,58,51,88,0,4,0.255,0.326,0.406,0.733
104,"Galvis, F",PHI,SS,162,608,71,155,29,6,12,61,45,111,14,5,0.255,0.309,0.382,0.69
105,"Bruce, J",CLE,RF,146,555,82,141,29,2,36,101,57,139,1,1,0.254,0.324,0.508,0.832
106,"Buxton, B",MIN,CF,140,462,69,117,14,6,16,51,38,150,29,1,0.253,0.314,0.413,0.728
107,"Crawford, B",SF,SS,144,518,58,131,34,1,14,77,42,113,3,5,0.253,0.305,0.403,0.709
108,"Mazara, N",TEX,RF,148,554,64,140,30,2,20,101,55,127,2,2,0.253,0.323,0.422,0.745
109,"Escobar, A",KC,SS,162,599,71,150,36,5,6,54,15,102,4,7,0.25,0.272,0.357,0.629
110,"Morales, K",TOR,DH,150,557,67,139,25,0,28,85,43,132,0,0,0.25,0.308,0.445,0.753
111,"Cabrera, M",DET,1B,130,469,50,117,22,0,16,60,54,110,0,1,0.249,0.329,0.399,0.728
112,"Seager, K",SEA,3B,154,578,72,144,33,1,27,88,58,110,2,1,0.249,0.323,0.45,0.773
113,"Duvall, A",CIN,LF,157,587,78,146,37,3,31,99,39,170,5,3,0.249,0.301,0.48,0.782
114,"Lamb, J",ARI,3B,149,536,89,133,30,4,30,105,87,152,6,4,0.248,0.357,0.487,0.844
115,"Hamilton, B",CIN,CF,139,582,85,144,17,11,4,38,44,133,59,13,0.247,0.299,0.335,0.634
116,"Davis, K",OAK,LF,153,566,91,140,28,1,43,110,73,195,4,0,0.247,0.336,0.528,0.864
117,"Thames, E",MIL,1B,138,469,83,116,26,4,31,63,75,163,4,2,0.247,0.359,0.518,0.877
118,"Morrison, L",TB,1B,149,512,75,126,22,1,38,85,81,149,2,0,0.246,0.353,0.516,0.868
119,"Moreland, M",BOS,1B,149,508,73,125,34,0,22,79,57,120,0,1,0.246,0.326,0.443,0.769
120,"Reyes, J",NYM,SS,145,501,75,123,25,7,15,58,50,79,24,6,0.246,0.315,0.413,0.728
121,"Bradley Jr., J",BOS,CF,133,482,58,118,19,3,17,63,48,124,8,3,0.245,0.323,0.402,0.726
122,"Calhoun, K",LAA,RF,155,569,77,139,23,2,19,71,71,134,5,1,0.244,0.333,0.392,0.725
123,"Myers, W",SD,1B,155,567,80,138,29,3,30,74,70,180,20,6,0.243,0.328,0.464,0.792
124,"Joyce, M",OAK,RF,141,469,78,114,33,0,25,68,66,113,4,1,0.243,0.335,0.473,0.808
125,"Kepler, M",MIN,RF,147,511,67,124,32,2,19,69,47,114,6,1,0.243,0.312,0.425,0.737
126,"Ramirez, H",BOS,DH,133,496,58,120,24,0,23,62,51,116,1,3,0.242,0.32,0.429,0.75
127,"Carpenter, M",STL,1B,145,497,91,120,31,2,23,69,109,125,2,1,0.241,0.384,0.451,0.835
128,"Pujols, A",LAA,DH,149,593,53,143,17,0,23,101,37,93,3,0,0.241,0.286,0.386,0.672
129,"Joseph, T",PHI,1B,142,495,51,119,27,1,22,69,33,129,1,0,0.24,0.289,0.432,0.721
130,"Souza Jr., S",TB,RF,148,523,78,125,21,2,30,78,84,179,16,4,0.239,0.351,0.459,0.81
131,"Story, T",COL,SS,145,503,68,120,32,3,24,82,49,191,7,2,0.239,0.308,0.457,0.765
132,"Kinsler, I",DET,2B,139,551,90,130,25,3,22,52,55,86,14,5,0.236,0.313,0.412,0.725
133,"Trumbo, M",BAL,DH,146,559,79,131,22,0,23,65,42,149,1,0,0.234,0.289,0.397,0.686
134,"Schebler, S",CIN,RF,141,473,63,110,25,2,30,67,39,125,5,3,0.233,0.307,0.484,0.791
135,"Swanson, D",ATL,SS,144,488,59,113,23,2,6,51,59,120,3,3,0.232,0.312,0.324,0.636
136,"Beltran, C",HOU,DH,129,467,60,108,29,0,14,51,33,102,0,0,0.231,0.283,0.383,0.666
137,"Franco, M",PHI,3B,154,575,66,132,29,1,24,76,41,95,0,0,0.23,0.281,0.409,0.69
138,"Davis, C",BAL,1B,128,456,65,98,15,1,26,61,61,195,1,1,0.215,0.309,0.423,0.732
139,"Frazier, T",NYY,3B,147,474,74,101,19,1,27,76,83,125,4,3,0.213,0.344,0.428,0.772
140,"Granderson, C",LAD,LF,147,449,74,95,24,3,26,64,71,123,6,2,0.212,0.323,0.452,0.775
141,"Gallo, J",TEX,3B,145,449,85,94,18,3,41,80,75,196,7,2,0.209,0.333,0.537,0.869
142,"Gordon, A",KC,LF,148,476,52,99,20,2,9,45,45,126,7,4,0.208,0.293,0.315,0.608
143,"Odor, R",TEX,2B,162,607,79,124,21,3,30,75,32,162,15,6,0.204,0.252,0.397,0.649
144,"Bautista, J",TOR,RF,157,587,92,119,27,0,23,65,84,170,6,3,0.203,0.308,0.366,0.674
